Range (yards),Drop (inches),Velocity (fps),Bullet energy (ft.lb)
0,-1.50,2700,2720
25,-0.64,2652,2625
50,-0.10,2605,2533
75,0.11,2559,2443
100,0.00,2513,2356
125,-0.45,2468,2272
150,-1.27,2423,2190
175,-2.45,2378,2110
200,-4.02,2334,2032
225,-5.99,2290,1957
250,-8.37,2247,1884
275,-11.18,2204,1813
300,-14.44,2162,1744
325,-18.16,2120,1677
350,-22.37,2079,1612
375,-27.08,2038,1549
400,-32.31,1997,1488
425,-38.09,1957,1429
450,-44.44,1918,1372
475,-51.37,1879,1317
500,-58.93,1841,1264
525,-67.12,1803,1212
550,-75.98,1765,1163
575,-85.54,1729,1115
600,-95.83,1693,1069
625,-106.87,1657,1025
650,-118.71,1622,982
675,-131.37,1588,941
700,-144.90,1555,902
725,-159.32,1522,864
750,-174.68,1489,828
775,-191.02,1458,793
800,-208.39,1427,760
825,-226.82,1397,729
850,-246.36,1368,699
875,-267.06,1340,670
900,-288.97,1313,643
925,-312.14,1287,618
950,-336.62,1261,594
975,-362.47,1237,571
1000,-389.74,1214,550